,AveragePrice,TotalVolume,TotalBags,type,year,region
131,1.05,75129.36,19278.0,conventional,2015,Louisville
132,1.28,342796.99,63792.34,conventional,2015,MiamiFtLauderdale
133,1.17,2335986.11,551745.27,conventional,2015,Midsouth
134,1.07,149832.2,295043.20947097597,conventional,2015,Nashville
135,0.97,239232.35,62815.17,conventional,2015,NewOrleansMobile
136,1.34,1018225.83,295043.20947097597,conventional,2015,NewYork
137,1.28,917091.3424611753,881104.32,conventional,2015,Northeast
138,1.06,314717.03,44863.79,conventional,2015,NorthernNewEngland
139,1.29,202034.59,295043.20947097597,conventional,2015,Orlando
140,1.38,315984.22,101558.06,conventional,2015,Philadelphia
141,0.61,1110753.05,66305.28,conventional,2015,PhoenixTucson
142,1.54,917091.3424611753,18068.15,conventional,2015,Pittsburgh
143,1.09,1402841.83,207260.73,conventional,2015,Plains
144,1.05,510152.67,72844.44,conventional,2015,Portland
145,1.24,205760.67,66316.08,conventional,2015,RaleighGreensboro
146,1.15,194460.59,44915.4,conventional,2015,RichmondNorfolk
147,1.16,113235.82,29842.1,conventional,2015,Roanoke
148,1.09,429492.28,43729.56,conventional,2015,Sacramento
149,0.82,544667.18,35484.4,conventional,2015,SanDiego
150,1.03,916450.76,86365.43,conventional,2015,SanFrancisco
151,1.06,527350.82,295043.20947097597,conventional,2015,Seattle
152,1.1,279706.73,63367.54,conventional,2015,SouthCarolina
153,0.8,5409726.02,630813.48,conventional,2015,SouthCentral
154,1.18,2433295.61,475337.14,conventional,2015,Southeast
155,1.07,70697.07,8595.05,conventional,2015,Spokane
156,1.29,164917.61,44511.92,conventional,2015,StLouis
157,1.45,42017.49,19441.98,conventional,2015,Syracuse
158,1.24,235231.08,56919.19,conventional,2015,Tampa
159,1.01,29063542.75,4517384.18,conventional,2015,TotalUS
160,0.95,5333097.71,709812.44,conventional,2015,West
161,0.92,584896.99,80109.87,conventional,2015,WestTexNewMexico
162,1.77,1182.56,838.44,organic,2015,Albany
163,1.84,3743.82,922.41,organic,2015,Atlanta
164,1.22,26008.88,6165.85,organic,2015,BaltimoreWashington
165,1.44,2378.68,455.28,organic,2015,Boise
166,1.94,2217.82,1248.93,organic,2015,Boston
167,1.59,2078.49,1934.98,organic,2015,BuffaloRochester
168,1.1,158110.68,8421.43,organic,2015,California
169,2.29,2390.22,431.78,organic,2015,Charlotte
170,1.79,12915.74,588.89,organic,2015,Chicago
171,1.32,11313.77,752.08,organic,2015,CincinnatiDayton
172,1.68,4193.17,617.42,organic,2015,Columbus
173,1.35,12126.63,3636.67,organic,2015,DallasFtWorth
174,1.28,30682.77,6731.23,organic,2015,Denver
175,1.87,6926.75,871.26,organic,2015,Detroit
176,1.87,761.86,193.08,organic,2015,GrandRapids
177,1.69,58061.65,9146.94,organic,2015,GreatLakes
178,1.65,3882.88,3504.58,organic,2015,HarrisburgScranton
179,2.28,3463.61,193.33,organic,2015,HartfordSpringfield
180,1.26,7561.0,600.0,organic,2015,Houston
181,1.83,1410.31,393.06,organic,2015,Indianapolis
182,1.91,1248.89,240.0,organic,2015,Jacksonville
183,1.54,6144.55,33.33,organic,2015,LasVegas
184,1.08,60232.63,6081.88,organic,2015,LosAngeles
185,1.79,1435.48,295043.20947097597,organic,2015,Louisville
186,1.85,1614.56,473.33,organic,2015,MiamiFtLauderdale
187,1.52,65483.08,17296.48,organic,2015,Midsouth
188,1.92,2892.29,438.65,organic,2015,Nashville
189,1.44,1492.44,295043.20947097597,organic,2015,NewOrleansMobile
190,2.03,14817.97,2111.17,organic,2015,NewYork
191,1.86,50079.81,26358.42,organic,2015,Northeast
192,1.88,6485.3,5894.15,organic,2015,NorthernNewEngland
193,1.92,1610.6,266.67,organic,2015,Orlando
194,1.63,6715.18,4472.33,organic,2015,Philadelphia
195,1.36,14035.18,879.26,organic,2015,PhoenixTucson
196,1.82,1663.25,295043.20947097597,organic,2015,Pittsburgh
197,1.68,37617.95,15692.82,organic,2015,Plains
198,1.22,43116.44,4477.36,organic,2015,Portland
199,1.98,3862.72,1200.59,organic,2015,RaleighGreensboro
200,1.66,2914.35,439.21,organic,2015,RichmondNorfolk
201,1.47,5128.06,979.65,organic,2015,Roanoke
202,1.27,7598.26,321.28,organic,2015,Sacramento
203,1.05,20089.52,1025.96,organic,2015,SanDiego
204,1.12,29676.78,182.83,organic,2015,SanFrancisco
205,1.46,46687.01,4620.02,organic,2015,Seattle
206,2.06,2304.3,677.93,organic,2015,SouthCarolina
207,1.39,53328.53,16963.95,organic,2015,SouthCentral
208,1.396017972711152,23690.65,8321.58,organic,2015,Southeast
209,1.38,4780.87,295043.20947097597,organic,2015,Spokane
210,1.84,3762.18,263.33,organic,2015,StLouis
211,1.66,762.15,565.4,organic,2015,Syracuse
212,1.84,1258.62,400.0,organic,2015,Tampa
213,1.42,669528.88,133760.12,organic,2015,TotalUS
214,1.39,223156.55,31558.5,organic,2015,West
215,1.69,6861.73,2661.91,organic,2015,WestTexNewMexico
216,1.17,44511.28,11921.05,conventional,2015,Albany
217,1.11,431490.99,40040.48,conventional,2015,Atlanta
218,1.23,657741.34,173858.5,conventional,2015,BaltimoreWashington
219,1.08,62870.49,3915.94,conventional,2015,Boise
220,1.23,401331.33,109036.52,conventional,2015,Boston
221,1.52,107040.29,43421.89,conventional,2015,BuffaloRochester
222,1.02,5570915.26,559990.93,conventional,2015,California
223,1.25,152671.15,47055.08,conventional,2015,Charlotte
224,1.14,797741.43,98865.72,conventional,2015,Chicago
225,0.93,175681.09,42403.04,conventional,2015,CincinnatiDayton
226,1.02,116450.21,27417.51,conventional,2015,Columbus
227,0.76,1091677.29,74805.23,conventional,2015,DallasFtWorth
228,0.99,808194.41,151308.9,conventional,2015,Denver
229,1.1,291788.43,94985.22,conventional,2015,Detroit
230,1.07,150201.39,64385.9,conventional,2015,GrandRapids
231,1.396017972711152,3006207.02,697090.44,conventional,2015,GreatLakes
232,1.24,182604.68,65730.17,conventional,2015,HarrisburgScranton
233,1.39,229216.05,64898.32,conventional,2015,HartfordSpringfield
234,0.77,1017854.16,120280.76,conventional,2015,Houston
235,1.14,149319.82,40469.37,conventional,2015,Indianapolis
236,1.27,99496.16,25060.56,conventional,2015,Jacksonville
237,1.06,233186.09,33175.55,conventional,2015,LasVegas
238,0.89,2800679.5,290195.16,conventional,2015,LosAngeles
239,1.06,85580.15,19076.5,conventional,2015,Louisville
240,1.3,405138.19,77092.27,conventional,2015,MiamiFtLauderdale
241,1.19,2330829.2,569042.98,conventional,2015,Midsouth
242,1.08,143464.64,25636.88,conventional,2015,Nashville
243,1.03,267666.12,64197.94,conventional,2015,NewOrleansMobile
244,1.37,1044280.56,272986.43,conventional,2015,NewYork
245,1.32,3066789.62,868986.62,conventional,2015,Northeast
246,1.12,309202.71,64770.92,conventional,2015,NorthernNewEngland
247,1.33,191078.37,43569.17,conventional,2015,Orlando
248,1.4,331495.41,105386.55,conventional,2015,Philadelphia
249,0.67,917091.3424611753,70788.61,conventional,2015,PhoenixTucson
250,1.47,59312.07,19359.33,conventional,2015,Pittsburgh
251,1.02,1674945.55,208774.76,conventional,2015,Plains
252,1.11,439617.61,48187.39,conventional,2015,Portland
253,1.22,204504.99,60466.47,conventional,2015,RaleighGreensboro
254,1.18,179038.39,47657.12,conventional,2015,RichmondNorfolk
255,1.18,112106.05,29457.09,conventional,2015,Roanoke
256,1.22,367047.36,295043.20947097597,conventional,2015,Sacramento
257,1.01,461063.73,32682.78,conventional,2015,SanDiego
258,1.22,753746.51,78809.61,conventional,2015,SanFrancisco
259,1.2,463472.52,68250.89,conventional,2015,Seattle
260,1.15,276205.95,56975.63,conventional,2015,SouthCarolina
261,0.79,5322625.57,554739.03,conventional,2015,SouthCentral
262,1.19,2595783.66,484236.48,conventional,2015,Southeast
263,1.18,69600.14,8489.31,conventional,2015,Spokane
264,1.28,170590.85,41018.95,conventional,2015,StLouis
265,1.4,40391.55,14818.36,conventional,2015,Syracuse
266,1.27,228920.62,63066.57,conventional,2015,Tampa
267,1.03,29043458.85,4652069.81,conventional,2015,TotalUS
268,0.96,5475363.01,709208.62,conventional,2015,West
269,0.8,729795.72,72437.3,conventional,2015,WestTexNewMexico
270,1.93,1118.47,931.67,organic,2015,Albany
271,1.86,4294.01,1166.1,organic,2015,Atlanta
272,1.41,14057.45,523.57,organic,2015,BaltimoreWashington
273,1.44,917091.3424611753,451.75,organic,2015,Boise
274,2.0,2209.34,1370.78,organic,2015,Boston
275,1.396017972711152,1426.87,1197.53,organic,2015,BuffaloRochester
276,1.24,195207.6,13453.15,organic,2015,California
277,2.15,2697.81,840.32,organic,2015,Charlotte
278,1.81,12499.87,514.45,organic,2015,Chicago
279,1.37,10051.4,395.09,organic,2015,CincinnatiDayton
280,1.84,4027.45,788.48,organic,2015,Columbus
281,1.28,12634.71,4206.67,organic,2015,DallasFtWorth
282,1.1,42234.91,4178.82,organic,2015,Denver
283,1.9,7656.72,295043.20947097597,organic,2015,Detroit
284,1.88,706.15,196.67,organic,2015,GrandRapids
285,1.73,57646.9,295043.20947097597,organic,2015,GreatLakes
286,1.94,1355.5,1168.46,organic,2015,HarrisburgScranton
287,2.35,2552.09,266.67,organic,2015,HartfordSpringfield
288,1.2,9979.64,750.0,organic,2015,Houston
289,1.96,1083.8,112.58,organic,2015,Indianapolis
290,1.82,1403.1,500.0,organic,2015,Jacksonville
291,1.63,6032.31,813.33,organic,2015,LasVegas
292,1.29,43649.12,8541.34,organic,2015,LosAngeles
293,1.79,1106.86,425.29,organic,2015,Louisville
294,1.87,1459.37,386.67,organic,2015,MiamiFtLauderdale
295,1.65,52559.1,12492.18,organic,2015,Midsouth
296,1.81,3118.58,892.49,organic,2015,Nashville
297,0.98,4739.17,4480.0,organic,2015,NewOrleansMobile
298,2.08,9204.78,1327.19,organic,2015,NewYork
299,1.94,35304.15,20452.15,organic,2015,Northeast
300,1.88,7618.91,7049.63,organic,2015,NorthernNewEngland
301,1.79,2151.76,883.33,organic,2015,Orlando
302,1.93,1699.0,689.13,organic,2015,Philadelphia
303,1.36,12251.87,295043.20947097597,organic,2015,PhoenixTucson
304,1.55,3448.42,2426.47,organic,2015,Pittsburgh
305,1.8,29669.53,9818.59,organic,2015,Plains
306,1.24,51904.44,9926.86,organic,2015,Portland
307,1.97,3496.27,1014.61,organic,2015,RaleighGreensboro
308,1.62,3480.66,845.21,organic,2015,RichmondNorfolk
309,1.48,5621.32,1046.89,organic,2015,Roanoke
310,1.13,37233.34,883.8,organic,2015,Sacramento
311,1.29,14473.73,1593.11,organic,2015,SanDiego
312,1.27,41482.48,295043.20947097597,organic,2015,SanFrancisco
313,1.45,44616.23,8161.49,organic,2015,Seattle
314,1.93,3024.32,1370.72,organic,2015,SouthCarolina
315,1.27,65242.77,25985.46,organic,2015,SouthCentral
316,1.79,25740.0,10971.03,organic,2015,Southeast
317,1.44,4363.13,647.93,organic,2015,Spokane
318,1.92,917091.3424611753,300.0,organic,2015,StLouis
319,1.396017972711152,627.8,476.34,organic,2015,Syracuse
320,1.73,1751.2,916.67,organic,2015,Tampa
321,1.42,713120.0,142968.56,organic,2015,TotalUS
322,1.33,251749.94,39743.83,organic,2015,West
323,1.71,5508.2,1635.84,organic,2015,WestTexNewMexico
324,1.06,45147.5,10845.82,conventional,2015,Albany
325,1.1,449332.85,36612.16,conventional,2015,Atlanta
326,1.2,692934.46,217350.64,conventional,2015,BaltimoreWashington
327,1.03,66069.21,4530.04,conventional,2015,Boise
328,1.17,409343.56,116472.16,conventional,2015,Boston
329,1.5,114052.94,58649.74,conventional,2015,BuffaloRochester
330,1.06,4929884.26,570609.87,conventional,2015,California
331,1.18,167270.13,54309.81,conventional,2015,Charlotte
332,1.22,745439.17,85220.93,conventional,2015,Chicago
333,0.93,213554.45,46636.08,conventional,2015,CincinnatiDayton
334,1.08,116995.68,23196.35,conventional,2015,Columbus
335,0.8,1008295.47,78188.26,conventional,2015,DallasFtWorth
336,1.02,695658.81,127364.97,conventional,2015,Denver
337,1.19,277325.29,73764.25,conventional,2015,Detroit
338,1.19,144301.73,58722.91,conventional,2015,GrandRapids
339,1.13,917091.3424611753,617677.34,conventional,2015,GreatLakes
340,1.17,206074.14,83379.23,conventional,2015,HarrisburgScranton
341,1.35,241174.11,86591.5,conventional,2015,HartfordSpringfield
342,0.77,983910.94,120289.18,conventional,2015,Houston
343,1.06,149473.79,36954.33,conventional,2015,Indianapolis
344,1.2,109940.55,27925.94,conventional,2015,Jacksonville
345,1.06,249509.99,32113.37,conventional,2015,LasVegas
346,0.96,2329987.29,294095.95,conventional,2015,LosAngeles
347,1.02,86635.35,21079.53,conventional,2015,Louisville
348,1.27,398055.71,66921.2,conventional,2015,MiamiFtLauderdale
349,1.15,917091.3424611753,295043.20947097597,conventional,2015,Midsouth
350,1.07,140855.47,25973.12,conventional,2015,Nashville
351,0.94,271448.06,69524.6,conventional,2015,NewOrleansMobile
352,1.36,1102868.27,295043.20947097597,conventional,2015,NewYork
353,1.27,3238501.89,1004627.94,conventional,2015,Northeast
354,1.06,290611.31,53547.65,conventional,2015,NorthernNewEngland
355,1.28,211991.09,48864.81,conventional,2015,Orlando
356,1.36,355645.73,126670.39,conventional,2015,Philadelphia
357,0.61,1233503.27,75561.02,conventional,2015,PhoenixTucson
358,1.32,917091.3424611753,24416.8,conventional,2015,Pittsburgh
359,1.08,1510836.96,201319.44,conventional,2015,Plains
360,1.09,432770.06,58282.2,conventional,2015,Portland
361,1.16,233277.19,76676.23,conventional,2015,RaleighGreensboro
362,1.396017972711152,194086.08,56189.36,conventional,2015,RichmondNorfolk
363,1.15,123070.18,33310.01,conventional,2015,Roanoke
364,1.19,360027.65,38819.19,conventional,2015,Sacramento
365,1.02,406591.11,295043.20947097597,conventional,2015,SanDiego
366,1.21,713523.24,83160.71,conventional,2015,SanFrancisco
367,1.26,420124.11,61449.41,conventional,2015,Seattle
368,1.06,311348.31,64163.71,conventional,2015,SouthCarolina
369,0.81,5142259.93,569012.95,conventional,2015,SouthCentral
370,1.15,2778000.82,502397.09,conventional,2015,Southeast
371,1.21,64116.71,8010.36,conventional,2015,Spokane
372,1.17,176820.49,46375.55,conventional,2015,StLouis
373,1.396017972711152,44517.84,21145.1,conventional,2015,Syracuse
374,1.21,260471.23,68895.19,conventional,2015,Tampa
375,1.04,28470310.84,4800192.94,conventional,2015,TotalUS
376,0.94,5461313.9,662667.8,conventional,2015,West
377,0.8,720800.61,66835.64,conventional,2015,WestTexNewMexico
378,1.89,1115.89,952.3,organic,2015,Albany
379,1.87,3047.38,733.56,organic,2015,Atlanta
380,1.41,15387.74,1738.64,organic,2015,BaltimoreWashington
381,1.82,917091.3424611753,314.87,organic,2015,Boise
382,2.01,1948.28,1184.75,organic,2015,Boston
383,1.6,1480.91,1373.92,organic,2015,BuffaloRochester
384,1.3,121698.02,295043.20947097597,organic,2015,California
385,2.29,2694.11,469.68,organic,2015,Charlotte
386,1.83,10951.51,724.44,organic,2015,Chicago
387,1.26,10191.82,1821.2,organic,2015,CincinnatiDayton
388,1.67,4847.86,846.74,organic,2015,Columbus
389,1.34,917091.3424611753,2613.33,organic,2015,DallasFtWorth
390,1.33,22502.5,9234.42,organic,2015,Denver
391,1.62,8703.74,912.82,organic,2015,Detroit
392,2.01,711.52,80.0,organic,2015,GrandRapids
393,1.63,59906.52,10969.72,organic,2015,GreatLakes
394,1.8,2171.91,1902.74,organic,2015,HarrisburgScranton
395,2.21,1920.19,234.57,organic,2015,HartfordSpringfield
396,1.24,11398.91,806.67,organic,2015,Houston
397,1.78,1221.24,406.02,organic,2015,Indianapolis
398,1.88,1140.32,263.33,organic,2015,Jacksonville
399,1.66,5758.68,295043.20947097597,organic,2015,LasVegas
400,1.23,38078.07,8684.63,organic,2015,LosAngeles
401,1.68,1201.46,457.41,organic,2015,Louisville
402,1.84,1648.84,530.0,organic,2015,MiamiFtLauderdale
403,1.63,54932.83,14444.88,organic,2015,Midsouth
404,1.71,917091.3424611753,1684.61,organic,2015,Nashville
405,1.47,1278.14,1063.34,organic,2015,NewOrleansMobile
406,2.02,14337.32,2015.47,organic,2015,NewYork
407,1.92,40358.44,20619.2,organic,2015,Northeast
408,1.9,6757.39,6163.83,organic,2015,NorthernNewEngland
409,1.82,1925.46,696.67,organic,2015,Orlando
410,1.82,2888.62,1271.83,organic,2015,Philadelphia
411,1.54,10849.4,1132.73,organic,2015,PhoenixTucson
412,1.7,1441.14,751.75,organic,2015,Pittsburgh
413,1.8,30207.8,11466.35,organic,2015,Plains
414,1.35,30862.91,4274.07,organic,2015,Portland
415,2.02,3359.58,721.86,organic,2015,RaleighGreensboro
416,1.57,3860.33,1352.16,organic,2015,RichmondNorfolk
417,1.47,5411.77,1160.21,organic,2015,Roanoke
418,1.44,9707.59,674.59,organic,2015,Sacramento
419,1.26,11132.08,1416.96,organic,2015,SanDiego
420,1.34,27146.81,228.67,organic,2015,SanFrancisco
421,1.396017972711152,29354.75,5108.01,organic,2015,Seattle
422,2.01,2865.92,1016.97,organic,2015,SouthCarolina
423,1.396017972711152,58961.59,15958.27,organic,2015,SouthCentral
424,1.396017972711152,23809.3,10154.18,organic,2015,Southeast
425,1.66,3313.55,372.79,organic,2015,Spokane
426,1.93,4131.86,573.33,organic,2015,StLouis
427,1.77,845.05,712.86,organic,2015,Syracuse
428,1.75,1460.04,726.67,organic,2015,Tampa
429,1.53,556368.86,131808.1,organic,2015,TotalUS
430,1.52,166494.38,35665.87,organic,2015,West
431,1.63,917091.3424611753,2356.88,organic,2015,WestTexNewMexico
432,0.99,70873.6,9323.18,conventional,2015,Albany
433,0.96,636771.37,295043.20947097597,conventional,2015,Atlanta
434,1.06,1007418.76,164589.36,conventional,2015,BaltimoreWashington
435,0.91,113578.24,6644.84,conventional,2015,Boise
436,1.22,490022.14,110214.39,conventional,2015,Boston
437,1.33,153920.35,86919.58,conventional,2015,BuffaloRochester
438,0.85,9032180.67,600149.24,conventional,2015,California
439,0.98,254009.7,49070.43,conventional,2015,Charlotte
440,0.91,1133491.66,93077.9,conventional,2015,Chicago
441,0.86,300905.18,51829.32,conventional,2015,CincinnatiDayton
442,1.396017972711152,216653.06,23945.98,conventional,2015,Columbus
443,0.68,1391089.32,90804.99,conventional,2015,DallasFtWorth
444,0.93,990211.57,158602.93,conventional,2015,Denver
445,0.92,539750.77,70681.78,conventional,2015,Detroit
446,0.94,309471.69,48422.82,conventional,2015,GrandRapids
447,0.91,4874124.41,646531.7,conventional,2015,GreatLakes
448,1.06,283137.88,70932.74,conventional,2015,HarrisburgScranton
449,1.32,917091.3424611753,75877.74,conventional,2015,HartfordSpringfield
450,0.72,1280364.01,134420.71,conventional,2015,Houston
451,0.92,245352.56,41561.14,conventional,2015,Indianapolis
452,0.92,917091.3424611753,42945.86,conventional,2015,Jacksonville
453,0.94,370223.11,36449.01,conventional,2015,LasVegas
454,0.74,4031949.04,342179.83,conventional,2015,LosAngeles
455,0.9,125504.98,31116.86,conventional,2015,Louisville
456,0.95,753300.79,111768.82,conventional,2015,MiamiFtLauderdale
457,0.99,3668037.65,592750.56,conventional,2015,Midsouth
458,0.94,221471.45,29612.86,conventional,2015,Nashville
459,0.81,367711.87,295043.20947097597,conventional,2015,NewOrleansMobile
460,1.36,1433763.11,295043.20947097597,conventional,2015,NewYork
461,1.23,4298883.17,1006703.42,conventional,2015,Northeast
462,1.06,412752.74,46670.1,conventional,2015,NorthernNewEngland
463,0.95,489224.51,80264.72,conventional,2015,Orlando
464,1.14,569304.8,119325.59,conventional,2015,Philadelphia
465,0.56,1544750.92,82437.73,conventional,2015,PhoenixTucson
466,1.25,112065.73,31870.24,conventional,2015,Pittsburgh
467,0.92,2561325.42,237852.92,conventional,2015,Plains
468,0.98,776237.93,59749.8,conventional,2015,Portland
469,0.99,344288.82,61014.39,conventional,2015,RaleighGreensboro
470,0.97,308461.1,47141.67,conventional,2015,RichmondNorfolk
471,1.0,168217.72,30471.81,conventional,2015,Roanoke
