AveragePrice,TotalVolume,4046,4225,4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,year,region,split
1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0.0,0,2015,0,-0.9525815789283756
1.11,397542.72,330411.24,18958.22,1135.18,47038.08,21309.61,25728.47,0.0,0,2015,1,-1.0509232737439371
1.3960179727111521,670231.94,51460.64,420837.82,42526.96,155406.52,151330.87,4075.65,0.0,0,2015,2,-1.5040265208238819
1.18,57355.52,38112.34,10997.54,3321.89,4923.75,3295.11,1628.64,4405.6384670481,0,2015,3,0.46687358639662857
1.1,437771.89,298153.02075182484,320577.36,121.81,111524.61,111192.88,331.73,0.0,0,2015,4,-0.6760388169607383
1.54,106221.32,1642.25,50985.2,79.61,53514.26,53514.26,0.0,0.0,0,2015,5,-0.9131122305442403
0.92,917091.3424611752,2889591.29,2485720.1,103573.42,546047.53,510560.41,31874.03,3613.09,0,2015,6,0.2756702314435141
1.15,802874.94,31239.94,558487.79,133848.57,79298.64,74716.43,4539.25,42.96,0,2015,8,1.375663196147378
0.76,1128693.04,680572.11,348535.22,11900.83,87684.88,67857.83,75899.23798835442,4405.6384670481,0,2015,11,0.1041400783109394
1.09,666579.35,110974.25,427723.2,5357.69,122524.21,85793.27,36703.98,26.96,0,2015,12,0.5330167834029913
1.03,917091.3424611752,972.96,127984.25,13798.9,42379.3,39193.44,2896.97,288.89,0,2015,14,2.2153889647708436
1.1,3067638.32,416900.3,1818618.04,316856.73,515263.25,412976.97,91214.54,11071.74,0,2015,15,0.7893693908518267
1.26,178735.25,298153.02075182484,78778.96,582.3,64838.42,63840.09,998.33,0.0,0,2015,16,-0.14429802859408788
1.38,232640.15,4365.27,143001.84,223.15,85049.89,83319.8,1730.09,4405.6384670481,0,2015,17,-0.6644535872912051
0.78,1062071.65,463272.52,441785.8,4094.47,152918.86,212419.8848198304,25923.1,0.0,0,2015,18,-1.657126848856012
1.2,99757.17,57635.74,17025.48,529.41,24566.54,14862.7,9703.84,0.0,0,2015,20,0.17632044939535615
0.93,274481.48,126092.05,101653.19,9591.88,37144.36,36874.44,269.92,4405.6384670481,0,2015,21,0.20731975399148964
1.28,342796.99,242922.42,36043.54,38.69,63792.34,35069.71,28722.63,0.0,0,2015,24,-0.06570458916644875
1.17,2335986.11,560119.16,1032606.49,191515.19,551745.27,465764.93,85966.27,14.07,0,2015,25,-0.31420565812350454
1.07,149832.2,103822.6,9098.86,11665.78,295043.209470976,22478.92,2766.04,0.0,0,2015,26,-0.6089463910110701
0.97,239232.35,165505.1,10680.54,231.54,62815.17,59593.91,3221.26,0.0,0,2015,27,-0.39470289165320577
1.34,1018225.83,15880.8,714530.7,2315.72,295043.209470976,221731.33,63767.28,0.0,0,2015,28,-0.20851376037419492
1.28,917091.3424611752,298153.02075182484,2070661.43,6915.47,881104.32,796190.93,84913.39,0.0,0,2015,29,-0.9103222643850423
1.06,314717.03,4578.25,265252.09,22.9,44863.79,44863.79,0.0,0.0,0,2015,30,-0.13488246573992754
1.29,202034.59,119336.02,39236.11,52.44,295043.209470976,18762.45,24647.57,0.0,0,2015,31,1.211809062275156
1.38,315984.22,14323.61,198387.14,1715.41,101558.06,88980.0,12578.06,0.0,0,2015,32,0.1701199520209951
0.61,1110753.05,849580.75,182629.59,12237.43,66305.28,66305.28,0.0,0.0,0,2015,33,-0.532562566477197
1.09,1402841.83,737363.86,448207.79,10009.45,207260.73,205299.64,954.59,1006.5,0,2015,35,0.16341139553522613
1.05,510152.67,121596.43,292968.56,22743.24,72844.44,64831.61,8012.83,4405.6384670481,0,2015,36,-1.353544752749915
1.24,205760.67,43986.78,54185.12,41272.69,66316.08,50818.2,15497.88,0.0,0,2015,37,-0.07766982984525919
1.15,194460.59,71743.11,66849.97,10952.11,44915.4,36160.54,8754.86,0.0,0,2015,38,-1.8914028730838806
1.16,113235.82,45706.36,37629.54,57.82,29842.1,26555.99,3286.11,0.0,0,2015,39,-1.02190703130284
0.82,544667.18,303369.02,192913.11,22463.61928975053,35484.4,31807.96,3271.85,404.59,0,2015,41,-0.8461405048740308
1.03,916450.76,155455.32,670522.75,4107.26,86365.43,85706.54,658.89,0.0,0,2015,42,-1.7518239040483377
1.06,527350.82,144349.43,278069.43,18076.48,295043.209470976,212419.8848198304,5632.65,1.53,0,2015,43,-1.0955057159384354
1.1,279706.73,162428.39,39713.75,14197.05,63367.54,212419.8848198304,18502.58,0.0,0,2015,44,-0.7178533329142396
0.8,5409726.02,2973367.52,1717171.24,88373.78,630813.48,533599.2,97164.07,50.21,0,2015,45,-0.46283753457158694
1.18,2433295.61,1667012.92,269027.02,21918.53,475337.14,260164.0,215173.14,0.0,0,2015,46,1.7403989013354564
1.07,70697.07,21973.57,35996.7,4131.75,8595.05,6899.1,1695.95,0.0,0,2015,47,-2.588673972095583
1.29,164917.61,79292.59,41050.38,62.72,44511.92,44509.7,2.22,0.0,0,2015,48,1.7764013838708397
1.45,42017.49,984.29,21576.29,14.93,19441.98,19441.98,0.0,0.0,0,2015,49,0.9752955422867002
1.24,235231.08,142237.71,36017.93,56.25,56919.19,19605.39,37313.8,0.0,0,2015,50,-0.6673648352423095
1.01,29063542.75,11544810.53,12134773.38,866574.66,4517384.18,3783261.16,718333.87,15789.15,0,2015,51,-0.7895956418964352
0.95,5333097.71,2203111.92,295828.4299183668,127412.09,709812.44,598705.08,111073.82,33.54,0,2015,52,1.5551012394648638
0.92,584896.99,347125.63,129717.42,27944.07,80109.87,78503.46,1606.41,0.0,0,2015,53,-0.30529644091091535
1.77,1182.56,39.0,305.12,0.0,838.44,838.44,0.0,0.0,1,2015,0,-0.6601946896413893
1.84,3743.82,1613.69,1207.72,0.0,922.41,865.0,57.41,0.0,1,2015,1,0.4819017595207506
1.22,26008.88,12258.26,7094.53,490.24,6165.85,6165.85,0.0,0.0,1,2015,2,-0.053821696676692544
1.44,2378.68,0.0,1923.4,0.0,455.28,170.0,285.28,0.0,1,2015,3,-1.6578728724832275
1.94,2217.82,12.82,956.07,0.0,1248.93,1248.93,0.0,0.0,1,2015,4,-1.0245755976981996
1.59,2078.49,0.0,143.51,0.0,1934.98,1934.98,0.0,4405.6384670481,1,2015,5,-1.329274071107823
1.1,158110.68,123712.51,25975.27,1.47,8421.43,8421.43,0.0,0.0,1,2015,6,0.48775037911521263
2.29,2390.22,155.92,969.82,832.7,431.78,212419.8848198304,75899.23798835442,0.0,1,2015,7,0.5449490043345963
1.79,12915.74,1426.75,10900.1,0.0,588.89,588.89,75899.23798835442,0.0,1,2015,8,-0.8932915148819293
1.28,30682.77,8855.89,15070.85,24.8,6731.23,1699.95,5031.28,0.0,1,2015,12,-0.15880459525144183
1.87,761.86,29.06,539.72,0.0,193.08,190.0,3.08,0.0,1,2015,14,-0.1764581271415265
1.69,58061.65,4362.25,44552.46,0.0,9146.94,7266.75,1880.19,0.0,1,2015,15,0.07495218771928522
1.65,3882.88,90.15,288.15,0.0,3504.58,212419.8848198304,0.0,0.0,1,2015,16,-0.8769737720167158
2.28,3463.61,79.31,3190.97,0.0,193.33,193.33,0.0,0.0,1,2015,17,1.6814466885167036
1.26,7561.0,6142.35,818.65,0.0,600.0,600.0,0.0,0.0,1,2015,18,-0.7644853467156354
1.83,1410.31,95.46,921.79,0.0,393.06,357.75,35.31,0.0,1,2015,19,0.34595213141134357
1.54,6144.55,4027.3,2083.92,0.0,33.33,33.33,0.0,0.0,1,2015,21,-1.461070001423427
1.08,60232.63,52087.31,2063.44,0.0,6081.88,6081.88,0.0,0.0,1,2015,22,-0.6164861924068633
1.79,1435.48,0.0,1219.02,0.0,295043.209470976,173.93,42.53,4405.6384670481,1,2015,23,1.644011887721898
1.92,2892.29,204.75,2168.33,80.56,438.65,435.54,3.11,0.0,1,2015,26,0.5856909997496653
1.44,1492.44,233.3,15.81,0.0,295043.209470976,1243.33,0.0,0.0,1,2015,27,1.1644562537258079
2.03,14817.97,1744.44,10901.43,60.93,2111.17,2111.17,75899.23798835442,0.0,1,2015,28,-0.6723596984685888
1.86,50079.81,3611.57,20043.89,65.93,26358.42,26332.17,26.25,0.0,1,2015,29,0.5955548297199253
1.88,6485.3,1.13,590.02,0.0,5894.15,212419.8848198304,0.0,0.0,1,2015,30,-0.6172412144912555
1.92,1610.6,1290.27,53.66,0.0,266.67,266.67,0.0,0.0,1,2015,31,1.0899633709088032
1.68,37617.95,6636.08,15284.43,4.62,15692.82,13774.1,1918.72,0.0,1,2015,35,-2.278160067579288
1.22,43116.44,18893.87,19745.21,0.0,4477.36,480.0,3997.36,0.0,1,2015,36,1.5224763110525292
1.98,3862.72,31.58,1957.67,672.88,1200.59,1195.75,75899.23798835442,0.0,1,2015,37,0.5474126176168097
1.66,2914.35,143.78,2060.44,270.92,439.21,212419.8848198304,26.4,0.0,1,2015,38,-2.163616638930672
1.27,7598.26,4243.14,3033.84,0.0,321.28,321.28,0.0,0.0,1,2015,40,0.4538244804423802
1.05,20089.52,18294.44,767.68,1.44,1025.96,1025.96,0.0,0.0,1,2015,41,0.060351643137982997
1.46,46687.01,8691.73,33361.78,13.48,4620.02,223.33,4396.69,0.0,1,2015,43,1.3666705189098292
1.39,53328.53,27767.97,8596.61,0.0,16963.95,16873.34,90.61,0.0,1,2015,45,-0.5559799639136038
1.38,4780.87,1159.37,3192.62,1.83,295043.209470976,140.0,287.05,0.0,1,2015,47,-0.06409516450578079
1.84,3762.18,298153.02075182484,1590.15,0.0,263.33,263.33,0.0,0.0,1,2015,48,-2.289321338805996
1.66,762.15,1.24,295828.4299183668,0.0,565.4,565.4,0.0,0.0,1,2015,49,-0.3105279180751094
1.84,1258.62,814.13,44.49,22463.61928975053,400.0,400.0,0.0,0.0,1,2015,50,0.546217073158362
1.39,223156.55,80139.16,111395.01,63.88,31558.5,9296.76,75899.23798835442,0.0,1,2015,52,-0.9140911922875865
1.69,6861.73,1822.28,2377.54,0.0,2661.91,2656.66,5.25,0.0,1,2015,53,-0.15740211828785564
1.17,44511.28,914.14,31540.32,135.77,11921.05,11651.09,269.96,0.0,0,2015,0,-0.32434614639588116
1.11,431490.99,372236.92,18701.9,511.69,40040.48,212419.8848198304,23257.77,0.0,0,2015,1,-0.17360603542615463
1.08,62870.49,50354.95,6342.37,2257.23,3915.94,1119.18,2796.76,0.0,0,2015,3,0.6569264298737048
1.23,401331.33,4383.76,287778.52,132.53,109036.52,108668.74,367.78,0.0,0,2015,4,-0.8789850408205414
1.52,107040.29,1625.26,295828.4299183668,133.29,43421.89,43419.67,2.22,0.0,0,2015,5,-0.6459458824430904
1.02,5570915.26,2780859.66,2108450.36,121614.31,559990.93,520299.26,36501.18,3190.49,0,2015,6,0.09017056779285261
1.25,152671.15,26462.87,40475.81,38677.39,47055.08,33996.73,13058.35,0.0,0,2015,7,0.6717501577472893
1.14,797741.43,24917.77,533717.99,22463.61928975053,98865.72,95516.44,3311.71,37.57,0,2015,8,0.47895815455990476
0.93,175681.09,3333.29,128858.15,1086.61,42403.04,24024.17,18264.75,114.12,0,2015,9,1.2031584656805723
1.02,116450.21,55532.76,295828.4299183668,7040.95,27417.51,24386.64,2962.41,68.46,0,2015,10,2.528500026339767
0.76,1091677.29,627090.61,374230.89,15550.56,74805.23,62375.69,12416.71,12.83,0,2015,11,-0.29212097456256036
0.99,808194.41,151976.7,500683.5,4225.31,151308.9,77528.06,73764.68,16.16,0,2015,12,0.540840711777787
1.1,291788.43,113616.86,45446.17,37740.18,94985.22,92319.38,1066.01,1599.83,0,2015,13,-0.2946402775902589
1.07,150201.39,970.13,78433.37,6411.99,64385.9,60381.95,3727.81,276.14,0,2015,14,-0.4725293912736127
1.3960179727111521,3006207.02,401683.43,1650327.26,257105.89,697090.44,600155.95,93434.54,3499.95,0,2015,15,-2.415412357117994
1.24,182604.68,30928.18,85410.46,535.87,65730.17,64180.88,1549.29,0.0,0,2015,16,0.07161854281855999
1.14,149319.82,2910.77,103890.9,2048.78,40469.37,22405.47,17913.92,149.98,0,2015,19,0.016045875530481354
1.27,99496.16,57479.2,16442.71,513.69,25060.56,14684.19,10376.37,0.0,0,2015,20,-1.371987042399928
1.06,233186.09,100191.96,94930.69,4887.89,33175.55,32897.59,277.96,0.0,0,2015,21,-0.0676758441458389
1.06,85580.15,2250.1,63826.82,426.73,19076.5,10228.66,8804.67,43.17,0,2015,23,-1.5707311064817198
1.3,405138.19,285204.29,42798.99,22463.61928975053,77092.27,41312.0,35780.27,0.0,0,2015,24,-0.27913363100478594
1.19,2330829.2,530333.83,1045424.87,186027.52,569042.98,478770.7,90214.44,57.84,0,2015,25,-0.4856396519290339
1.08,143464.64,97216.47,8423.57,22463.61928975053,25636.88,23520.54,2116.34,0.0,0,2015,26,-2.2783724489156443
1.03,267666.12,179991.12,23263.42,213.64,64197.94,61302.5,2895.44,0.0,0,2015,27,-0.860106387561333
1.37,1044280.56,18945.56,749309.2,3039.37,272986.43,211934.06,61052.37,0.0,0,2015,28,0.7150629758265699
1.32,3066789.62,91803.09,2098784.32,7215.59,868986.62,784229.51,84757.11,0.0,0,2015,29,0.9999031380266727
1.12,309202.71,3012.79,241380.95,38.05,64770.92,64770.92,0.0,0.0,0,2015,30,-1.0093897630264665
1.33,191078.37,112722.12,34703.28,83.8,43569.17,18914.84,24654.33,0.0,0,2015,31,1.1573967582477362
1.4,331495.41,15116.27,209523.15,1469.44,105386.55,93250.96,12135.59,0.0,0,2015,32,0.4072887565922188
0.67,917091.3424611752,811662.62,200514.36,5643.07,70788.61,70788.61,0.0,0.0,0,2015,33,-0.4794271198367405
1.02,1674945.55,966515.75,485150.34,14504.7,208774.76,206579.02,1074.3,1121.44,0,2015,35,-0.7492570937776716
1.11,439617.61,155745.95,220991.54,14692.73,48187.39,34402.17,13785.22,0.0,0,2015,36,0.9708988391456745
1.22,204504.99,48613.54,55881.05,39543.93,60466.47,46298.95,14167.52,0.0,0,2015,37,1.2385744631960756
1.18,179038.39,54459.4,66963.59,9958.28,47657.12,36798.65,10858.47,0.0,0,2015,38,-0.4265974909953688
1.18,112106.05,44676.56,37854.42,117.98,29457.09,25952.51,3504.58,0.0,0,2015,39,-2.283481138107789
1.22,367047.36,83097.77,238956.51,5672.46,295043.209470976,39320.62,0.0,0.0,0,2015,40,1.0109415377094915
1.22,753746.51,107566.95,295828.4299183668,12868.74,78809.61,78241.87,515.56,52.18,0,2015,42,-0.9677656789474113
1.2,463472.52,160898.14,223145.82,11177.67,68250.89,67519.53,75899.23798835442,10.71,0,2015,43,-1.998707394343617
1.15,276205.95,160256.58,44019.64,14954.1,56975.63,35311.93,21663.7,0.0,0,2015,44,-0.7021240561336587
0.79,5322625.57,2839359.92,1782045.18,146481.44,554739.03,497106.16,57607.18,25.69,0,2015,45,1.4280181422234184
1.19,2595783.66,1815847.03,273695.84,22004.31,484236.48,258541.9,225694.58,0.0,0,2015,46,0.4344411838200394
1.18,69600.14,28457.99,29719.57,2933.27,8489.31,7986.02,503.29,0.0,0,2015,47,0.2714360000783382
1.28,170590.85,78724.96,50701.59,145.35,41018.95,41014.51,4.44,0.0,0,2015,48,-0.14799895300680996
1.4,40391.55,789.84,24755.46,27.89,14818.36,14818.36,0.0,0.0,0,2015,49,-0.16904174780827766
1.27,228920.62,132142.6,33674.07,37.38,63066.57,25006.34,38060.23,0.0,0,2015,50,-0.8015768047717469
1.03,29043458.85,11858139.34,11701947.8,831301.9,4652069.81,3873041.26,75899.23798835442,7935.35,0,2015,51,0.051677920896594905
0.96,5475363.01,2431736.63,295828.4299183668,76348.13,709208.62,527358.78,181809.88,39.96,0,2015,52,0.026903915102520385
0.8,729795.72,516446.41,128438.87,12473.14,72437.3,71564.22,873.08,0.0,0,2015,53,-0.6983341436427989
1.93,1118.47,8.02,178.78,0.0,931.67,931.67,0.0,0.0,1,2015,0,-1.7921059159587638
1.86,4294.01,2138.51,989.4,0.0,1166.1,1019.34,146.76,0.0,1,2015,1,0.021562790540607786
1.44,917091.3424611752,8.83,295828.4299183668,0.0,451.75,143.33,308.42,0.0,1,2015,3,1.1240851842073478
2.0,2209.34,298153.02075182484,295828.4299183668,0.0,1370.78,1370.78,0.0,0.0,1,2015,4,0.27154300524006636
1.3960179727111521,1426.87,298153.02075182484,137.49,0.0,1197.53,1197.53,0.0,0.0,1,2015,5,-0.995188124841999
1.24,195207.6,123138.29,58616.16,0.0,13453.15,13453.15,0.0,0.0,1,2015,6,0.33124838385971583
1.81,12499.87,1154.81,10830.61,0.0,514.45,514.45,0.0,0.0,1,2015,8,0.07016391510458618
1.37,10051.4,282.08,9374.23,0.0,395.09,351.87,43.22,0.0,1,2015,9,-0.8734557032477138
1.84,4027.45,279.22,2959.75,0.0,788.48,213.33,575.15,0.0,1,2015,10,-1.0404806123058032
1.28,12634.71,7556.77,871.27,0.0,4206.67,4206.67,0.0,0.0,1,2015,11,-0.8980868230366101
1.1,42234.91,5475.13,32538.95,42.01,4178.82,992.64,3186.18,0.0,1,2015,12,-1.1421027778197004
1.9,7656.72,376.08,6430.19,0.0,295043.209470976,446.67,403.78,0.0,1,2015,13,-1.0092549508785313
1.73,57646.9,3941.59,43653.15,0.0,295043.209470976,6511.7,3540.46,0.0,1,2015,15,0.14453128704449308
2.35,2552.09,39.56,2233.79,12.07,266.67,266.67,0.0,0.0,1,2015,17,-0.15528276313732664
1.2,9979.64,8538.96,690.68,0.0,750.0,750.0,0.0,0.0,1,2015,18,-0.3645162972624108
1.96,1083.8,45.28,925.94,0.0,112.58,105.03,7.55,0.0,1,2015,19,-2.4866968798741245
1.82,1403.1,846.65,55.27,1.18,500.0,500.0,0.0,0.0,1,2015,20,-0.8213509893911163
1.63,6032.31,3449.94,1769.04,0.0,813.33,813.33,0.0,0.0,1,2015,21,1.3163475225771046
1.29,43649.12,33738.87,1368.91,0.0,8541.34,8541.34,0.0,0.0,1,2015,22,0.207072306800437
1.87,1459.37,1054.78,17.92,0.0,386.67,386.67,0.0,0.0,1,2015,24,0.9291430765659058
